dictionary_id,symptom_code,canonical_name,synonym_vi,no_diacritic_form,body_area,suggested_departments_json,is_red_flag_candidate,negation_example,language,validation_status
SYM-001-16,CHEST_PAIN,Đau ngực,tức ngực nhẹ,tuc nguc nhe,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-17,CHEST_PAIN,Đau ngực,nang nguc nhieu,nang nguc nhieu,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-18,CHEST_PAIN,Đau ngực,đau vùg ngực liên tục,dau vug nguc lien tuc,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-19,CHEST_PAIN,Đau ngực,ngực bóp từng lúc,nguc bop tung luc,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-20,CHEST_PAIN,Đau ngực,đau ngực,dau nguc,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-002-01,PALPITATION,Hồi hộp đánh trống ngực,toi hoi hop,toi hoi hop,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-02,PALPITATION,Hồi hộp đánh trống ngực,hay đánh trống nực,hay danh trong nuc,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-03,PALPITATION,Hồi hộp đánh trống ngực,cảm giác tim đập thình thịch,cam giac tim dap thinh thich,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-04,PALPITATION,Hồi hộp đánh trống ngực,nhịp tim nhanh mấy hôm nay,nhip tim nhanh may hom nay,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-05,PALPITATION,Hồi hộp đánh trống ngực,tim dap nhanh nhe,tim dap nhanh nhe,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-06,PALPITATION,Hồi hộp đánh trống ngực,hồi hộ nhiều,hoi ho nhieu,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-07,PALPITATION,Hồi hộp đánh trống ngực,đánh trống ngực liên tục,danh trong nguc lien tuc,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-08,PALPITATION,Hồi hộp đánh trống ngực,tim đập thình thịch từng lúc,tim dap thinh thich tung luc,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-09,PALPITATION,Hồi hộp đánh trống ngực,nhip tim nhanh,nhip tim nhanh,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-10,PALPITATION,Hồi hộp đánh trống ngực,bị tim đập nhnah,bi tim dap nhnah,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-11,PALPITATION,Hồi hộp đánh trống ngực,hồi hộp,hoi hop,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-12,PALPITATION,Hồi hộp đánh trống ngực,hay đánh trống ngực,hay danh trong nguc,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-13,PALPITATION,Hồi hộp đánh trống ngực,cam giac tim dap thinh thich,cam giac tim dap thinh thich,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-14,PALPITATION,Hồi hộp đánh trống ngực,nhịp tim nhanh mấy hm nay,nhip tim nhanh may hm nay,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-15,PALPITATION,Hồi hộp đánh trống ngực,tim đập nhanh nhẹ,tim dap nhanh nhe,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-16,PALPITATION,Hồi hộp đánh trống ngực,hồi hộp nhiều,hoi hop nhieu,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-17,PALPITATION,Hồi hộp đánh trống ngực,danh trong nguc lien tuc,danh trong nguc lien tuc,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-18,PALPITATION,Hồi hộp đánh trống ngực,tim đập thình tịhch từng lúc,tim dap thinh tihch tung luc,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-19,PALPITATION,Hồi hộp đánh trống ngực,nhịp tim nhanh,nhip tim nhanh,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-002-20,PALPITATION,Hồi hộp đánh trống ngực,bị tim đập nhanh,bi tim dap nhanh,CHEST,"[""CARD""]",false,không tim đập nhanh,vi,SYNTHETIC_UNVALIDATED
SYM-003-01,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,hay hut hoi khi leo cau thang,hay hut hoi khi leo cau thang,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-02,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,ảcm giác thở gấp khi vận động,acm giac tho gap khi van dong,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-03,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,mệt khi gắng sức mấy hôm nay,met khi gang suc may hom nay,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-04,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,khó thở lúc vận động nhẹ,kho tho luc van dong nhe,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-05,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,kho tho khi di bo nhieu,kho tho khi di bo nhieu,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-06,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,hụt hơi khi leo cầu thaang liên tục,hut hoi khi leo cau thaang lien tuc,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-07,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,thở gấp khi vận động từng lúc,tho gap khi van dong tung luc,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-08,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,mệt khi gắng sức,met khi gang suc,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-09,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,bi kho tho luc van dong,bi kho tho luc van dong,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-10,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,tôi khhó thở khi đi bộ,toi khho tho khi di bo,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-11,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,hay hụt hơi khi leo cầu thang,hay hut hoi khi leo cau thang,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-12,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,cảm giác thở gấp khi vận động,cam giac tho gap khi van dong,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-13,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,met khi gang suc may hom nay,met khi gang suc may hom nay,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-14,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,khó thở lúc vnậ động nhẹ,kho tho luc vna dong nhe,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-15,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,khó thở khi đi bộ nhiều,kho tho khi di bo nhieu,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-16,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,hụt hơi khi leo cầu thang liên tục,hut hoi khi leo cau thang lien tuc,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-17,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,tho gap khi van dong tung luc,tho gap khi van dong tung luc,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-18,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,mệt khi gắg sức,met khi gag suc,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-19,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,khó thở lúc vận động,kho tho luc van dong,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-003-20,EXERTIONAL_DYSPNEA,Khó thở khi gắng sức,tôi khó thở khi đi bộ,toi kho tho khi di bo,RESPIRATORY,"[""CARD"",""RESP""]",false,không khó thở khi đi bộ,vi,SYNTHETIC_UNVALIDATED
SYM-004-01,HEADACHE,Đau đầu,cam giac nhuc dau,cam giac nhuc dau,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-02,HEADACHE,Đau đầu,đau nửa ầđu mấy hôm nay,dau nua adu may hom nay,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-03,HEADACHE,Đau đầu,đau vùng trán nhẹ,dau vung tran nhe,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-04,HEADACHE,Đau đầu,đau phía sau đầu nhiều,dau phia sau dau nhieu,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-05,HEADACHE,Đau đầu,dau dau lien tuc,dau dau lien tuc,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-06,HEADACHE,Đau đầu,nhức đầu từng úlc,nhuc dau tung ulc,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-07,HEADACHE,Đau đầu,đau nửa đầu,dau nua dau,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-08,HEADACHE,Đau đầu,bị đau vùng trán,bi dau vung tran,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-09,HEADACHE,Đau đầu,toi dau phia sau dau,toi dau phia sau dau,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-10,HEADACHE,Đau đầu,hay đau đầuu,hay dau dauu,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-11,HEADACHE,Đau đầu,cảm giác nhức đầu,cam giac nhuc dau,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-12,HEADACHE,Đau đầu,đau nửa đầu mấy hôm nay,dau nua dau may hom nay,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-13,HEADACHE,Đau đầu,dau vung tran nhe,dau vung tran nhe,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-14,HEADACHE,Đau đầu,đau hpía sau đầu nhiều,dau hpia sau dau nhieu,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-15,HEADACHE,Đau đầu,đau đầu liên tục,dau dau lien tuc,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-16,HEADACHE,Đau đầu,nhức đầu từng lúc,nhuc dau tung luc,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-17,HEADACHE,Đau đầu,dau nua dau,dau nua dau,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-18,HEADACHE,Đau đầu,bị đau vng trán,bi dau vng tran,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-19,HEADACHE,Đau đầu,đau phía sau đầu,dau phia sau dau,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-004-20,HEADACHE,Đau đầu,hay đau đầu,hay dau dau,HEAD,"[""NEURO"",""GENERAL""]",false,không đau đầu,vi,SYNTHETIC_UNVALIDATED
SYM-005-01,DIZZINESS,Chóng mặt,hoa mat may hom nay,hoa mat may hom nay,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-02,DIZZINESS,Chóng mặt,choáng váng hnẹ,choang vang hne,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-03,DIZZINESS,Chóng mặt,cảm giác quay cuồng nhiều,cam giac quay cuong nhieu,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-04,DIZZINESS,Chóng mặt,đứng lên bị choáng liên tục,dung len bi choang lien tuc,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-05,DIZZINESS,Chóng mặt,chong mat tung luc,chong mat tung luc,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-06,DIZZINESS,Chóng mặt,hoa mt,hoa mt,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-07,DIZZINESS,Chóng mặt,choáng váng,choang vang,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-08,DIZZINESS,Chóng mặt,tôi cảm giác quay cuồng,toi cam giac quay cuong,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-09,DIZZINESS,Chóng mặt,hay dung len bi choang,hay dung len bi choang,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-10,DIZZINESS,Chóng mặt,cảm giác chón mặt,cam giac chon mat,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-11,DIZZINESS,Chóng mặt,hoa mắt mấy hôm nay,hoa mat may hom nay,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-12,DIZZINESS,Chóng mặt,choáng váng nhẹ,choang vang nhe,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-13,DIZZINESS,Chóng mặt,cam giac quay cuong nhieu,cam giac quay cuong nhieu,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-14,DIZZINESS,Chóng mặt,đứng lên bị choáng liên ttục,dung len bi choang lien ttuc,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-15,DIZZINESS,Chóng mặt,chóng mặt từng lúc,chong mat tung luc,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-16,DIZZINESS,Chóng mặt,hoa mắt,hoa mat,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-17,DIZZINESS,Chóng mặt,bi choang vang,bi choang vang,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-18,DIZZINESS,Chóng mặt,tôi cảm giác quy cuồng,toi cam giac quy cuong,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-19,DIZZINESS,Chóng mặt,hay đứng lên choáng,hay dung len choang,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-005-20,DIZZINESS,Chóng mặt,cảm giác chóng mặt,cam giac chong mat,NEURO,"[""NEURO"",""GENERAL""]",false,không chóng mặt,vi,SYNTHETIC_UNVALIDATED
SYM-006-01,NUMBNESS,Tê bì,te chan nhe,te chan nhe,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-02,NUMBNESS,Tê bì,tê bì hiều,te bi hieu,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-03,NUMBNESS,Tê bì,cảm giác kiến bò liên tục,cam giac kien bo lien tuc,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-04,NUMBNESS,Tê bì,mất cảm giác nhẹ từng lúc,mat cam giac nhe tung luc,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-05,NUMBNESS,Tê bì,te tay,te tay,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-06,NUMBNESS,Tê bì,bị êt chân,bi et chan,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-07,NUMBNESS,Tê bì,tê bì,te bi,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-08,NUMBNESS,Tê bì,hay cảm giác kiến bò,hay cam giac kien bo,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-09,NUMBNESS,Tê bì,cam giac mat cam giac nhe,cam giac mat cam giac nhe,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-10,NUMBNESS,Tê bì,tê ta mấy hôm nay,te ta may hom nay,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-11,NUMBNESS,Tê bì,tê chân nhẹ,te chan nhe,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-12,NUMBNESS,Tê bì,tê bì nhiều,te bi nhieu,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-13,NUMBNESS,Tê bì,cam giac kien bo lien tuc,cam giac kien bo lien tuc,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-14,NUMBNESS,Tê bì,mất cả giác nhẹ từng lúc,mat ca giac nhe tung luc,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-15,NUMBNESS,Tê bì,tê tay,te tay,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-16,NUMBNESS,Tê bì,bị tê chân,bi te chan,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-17,NUMBNESS,Tê bì,toi te bi,toi te bi,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-18,NUMBNESS,Tê bì,hay ảcm giác kiến bò,hay acm giac kien bo,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-19,NUMBNESS,Tê bì,cảm giác mất cảm giác nhẹ,cam giac mat cam giac nhe,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-006-20,NUMBNESS,Tê bì,tê tay mấy hôm nay,te tay may hom nay,NEURO,"[""NEURO"",""ORTHO""]",false,không tê tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-01,LIMB_WEAKNESS,Yếu chi,yeu chan nhieu,yeu chan nhieu,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-02,LIMB_WEAKNESS,Yếu chi,tay chn yếu liên tục,tay chn yeu lien tuc,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-03,LIMB_WEAKNESS,Yếu chi,khó nâng tay từng lúc,kho nang tay tung luc,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-04,LIMB_WEAKNESS,Yếu chi,chân không có lực,chan khong co luc,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-05,LIMB_WEAKNESS,Yếu chi,bi yeu tay,bi yeu tay,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-06,LIMB_WEAKNESS,Yếu chi,ôi yếu chân,oi yeu chan,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-07,LIMB_WEAKNESS,Yếu chi,hay tay chân yếu,hay tay chan yeu,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-08,LIMB_WEAKNESS,Yếu chi,cảm giác khó nâng tay,cam giac kho nang tay,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-09,LIMB_WEAKNESS,Yếu chi,chan khong co luc may hom nay,chan khong co luc may hom nay,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-10,LIMB_WEAKNESS,Yếu chi,yếu tay nhẹ,yeu tay nhe,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-11,LIMB_WEAKNESS,Yếu chi,yếu chân nhiều,yeu chan nhieu,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-12,LIMB_WEAKNESS,Yếu chi,tay chân yếu liên tục,tay chan yeu lien tuc,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-13,LIMB_WEAKNESS,Yếu chi,kho nang tay tung luc,kho nang tay tung luc,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-14,LIMB_WEAKNESS,Yếu chi,chân khôn có lực,chan khon co luc,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-15,LIMB_WEAKNESS,Yếu chi,yếu tay,yeu tay,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
SYM-007-16,LIMB_WEAKNESS,Yếu chi,tôi yếu chân,toi yeu chan,NEURO,"[""NEURO"",""ER""]",true,không yếu tay,vi,SYNTHETIC_UNVALIDATED
