rule_id,required_symptoms_json,optional_symptoms_json,excluded_symptoms_json,age_min,age_max,gender_scope,pregnancy_scope,target_department,target_department_name,alternative_departments_json,default_priority,base_score,requires_review,rule_source,validation_status
RULE-0020,"[""DIZZINESS"",""WEIGHT_CHANGE""]","[""FEVER""]","[""CHEST_PAIN""]",18,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.733,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0021,"[""HEADACHE""]","[""WEIGHT_CHANGE""]",[],16,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.622,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0022,"[""FEVER""]","[""DIZZINESS"",""NAUSEA""]","[""LIMB_WEAKNESS""]",18,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.764,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0023,"[""CONSTIPATION""]","[""HEADACHE"",""NAUSEA""]","[""LIMB_WEAKNESS""]",18,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",LOW,0.866,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0024,"[""CONSTIPATION"",""NAUSEA""]","[""WEIGHT_CHANGE""]",[],18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.694,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0025,"[""FEVER"",""NAUSEA""]","[""CONSTIPATION"",""WEIGHT_CHANGE""]",[],18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",LOW,0.841,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0026,"[""FEVER""]","[""DIZZINESS"",""NAUSEA"",""WEIGHT_CHANGE""]","[""VAGINAL_BLEEDING""]",16,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.798,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0027,"[""CONSTIPATION"",""WEIGHT_CHANGE""]","[""FEVER"",""HEADACHE""]",[],16,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.828,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0028,"[""DIZZINESS"",""HEADACHE""]","[""FEVER""]",[],18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.686,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0029,"[""DIZZINESS""]","[""FEVER"",""HEADACHE""]",[],16,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.67,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0030,"[""NAUSEA""]","[""CONSTIPATION"",""WEIGHT_CHANGE""]",[],16,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.869,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0031,"[""CONSTIPATION""]","[""DIZZINESS"",""HEADACHE""]",[],16,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",LOW,0.668,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0032,"[""FEVER"",""NAUSEA""]","[""CONSTIPATION"",""HEADACHE"",""WEIGHT_CHANGE""]",[],16,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",LOW,0.743,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0033,"[""NAUSEA"",""WEIGHT_CHANGE""]","[""DIZZINESS"",""FEVER"",""HEADACHE""]","[""DYSPNEA""]",18,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.79,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0034,"[""FEVER"",""NAUSEA""]","[""DIZZINESS"",""HEADACHE"",""WEIGHT_CHANGE""]",[],18,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.629,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0035,"[""WEIGHT_CHANGE""]","[""FEVER"",""HEADACHE""]",[],18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",LOW,0.843,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0036,"[""DIZZINESS"",""NAUSEA""]","[""CONSTIPATION"",""WEIGHT_CHANGE""]",[],18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.75,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0037,"[""FEVER""]","[""CONSTIPATION"",""NAUSEA""]",[],18,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.655,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0038,"[""HEADACHE"",""WEIGHT_CHANGE""]","[""CONSTIPATION"",""DIZZINESS""]",[],18,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.685,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0039,"[""FEVER""]","[""CONSTIPATION""]",[],16,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.922,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0040,"[""DIZZINESS""]","[""CONSTIPATION"",""FEVER""]",[],18,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",LOW,0.889,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0041,"[""FEVER""]","[""CONSTIPATION"",""HEADACHE"",""NAUSEA""]",[],18,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.709,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0042,"[""CONSTIPATION"",""WEIGHT_CHANGE""]","[""FEVER"",""NAUSEA""]",[],16,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.907,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0043,"[""CONSTIPATION""]","[""DIZZINESS"",""HEADACHE"",""NAUSEA""]","[""VAGINAL_BLEEDING""]",18,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.653,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0044,"[""CONSTIPATION"",""WEIGHT_CHANGE""]","[""DIZZINESS"",""FEVER"",""NAUSEA""]",[],18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",LOW,0.831,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0045,"[""NAUSEA""]","[""WEIGHT_CHANGE""]",[],18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.904,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0046,"[""HEADACHE""]","[""CONSTIPATION"",""NAUSEA""]",[],18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.857,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0047,"[""HEADACHE"",""WEIGHT_CHANGE""]","[""CONSTIPATION"",""NAUSEA""]","[""CHEST_PAIN""]",16,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",LOW,0.896,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0048,"[""CONSTIPATION"",""DIZZINESS""]","[""FEVER"",""NAUSEA"",""WEIGHT_CHANGE""]",[],16,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.789,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0049,"[""DIZZINESS""]","[""HEADACHE"",""NAUSEA""]",[],18,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.663,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0050,"[""HEADACHE""]","[""WEIGHT_CHANGE""]",[],16,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.774,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0051,"[""CONSTIPATION""]","[""FEVER"",""HEADACHE""]",[],16,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.761,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0052,"[""FEVER"",""HEADACHE""]","[""CONSTIPATION"",""WEIGHT_CHANGE""]",[],18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.897,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0053,"[""CONSTIPATION"",""FEVER""]","[""HEADACHE"",""WEIGHT_CHANGE""]","[""VAGINAL_BLEEDING""]",18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.649,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0054,"[""CONSTIPATION"",""NAUSEA""]","[""FEVER"",""HEADACHE"",""WEIGHT_CHANGE""]",[],16,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.89,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0055,"[""FEVER""]","[""HEADACHE"",""WEIGHT_CHANGE""]","[""BLURRED_VISION""]",16,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.703,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0056,"[""WEIGHT_CHANGE""]","[""FEVER""]",[],18,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.787,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0057,"[""WEIGHT_CHANGE""]","[""DIZZINESS"",""FEVER"",""NAUSEA""]",[],18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.728,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0058,"[""CONSTIPATION"",""DIZZINESS""]","[""FEVER"",""NAUSEA"",""WEIGHT_CHANGE""]","[""VAGINAL_BLEEDING""]",18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.799,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0059,"[""DIZZINESS"",""WEIGHT_CHANGE""]","[""CONSTIPATION"",""HEADACHE""]",[],18,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.648,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0060,"[""WEIGHT_CHANGE""]","[""DIZZINESS"",""FEVER"",""NAUSEA""]","[""VAGINAL_BLEEDING""]",18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.875,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0061,"[""FEVER""]","[""DIZZINESS"",""NAUSEA""]",[],18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.734,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0062,"[""WEIGHT_CHANGE""]","[""DIZZINESS"",""HEADACHE""]",[],16,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.796,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0063,"[""CONSTIPATION"",""DIZZINESS""]","[""FEVER"",""HEADACHE"",""WEIGHT_CHANGE""]",[],16,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.81,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0064,"[""FEVER"",""HEADACHE""]","[""DIZZINESS"",""NAUSEA""]",[],16,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.729,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0065,"[""FEVER"",""WEIGHT_CHANGE""]","[""CONSTIPATION"",""DIZZINESS"",""NAUSEA""]",[],16,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.659,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0066,"[""EXERTIONAL_DYSPNEA""]","[""PALPITATION""]",[],18,120,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",LOW,0.886,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0067,"[""CHEST_PAIN"",""PALPITATION""]","[""EXERTIONAL_DYSPNEA"",""LIMB_SWELLING""]",[],16,80,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",NORMAL,0.67,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0068,"[""EXERTIONAL_DYSPNEA""]","[""CHEST_PAIN"",""LIMB_SWELLING"",""PALPITATION""]",[],16,100,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",NORMAL,0.82,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0069,"[""LIMB_SWELLING"",""PALPITATION""]","[""CHEST_PAIN"",""EXERTIONAL_DYSPNEA""]",[],18,100,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",NORMAL,0.798,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0070,"[""PALPITATION""]","[""CHEST_PAIN"",""EXERTIONAL_DYSPNEA"",""LIMB_SWELLING""]",[],18,80,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",HIGH,0.693,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0071,"[""EXERTIONAL_DYSPNEA""]","[""CHEST_PAIN""]","[""CHEST_PAIN""]",18,80,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",NORMAL,0.81,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0072,"[""LIMB_SWELLING"",""PALPITATION""]","[""CHEST_PAIN"",""EXERTIONAL_DYSPNEA""]",[],16,120,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",HIGH,0.919,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0073,"[""EXERTIONAL_DYSPNEA""]","[""LIMB_SWELLING"",""PALPITATION""]",[],18,100,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",NORMAL,0.888,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0074,"[""CHEST_PAIN"",""LIMB_SWELLING""]","[""EXERTIONAL_DYSPNEA"",""PALPITATION""]",[],18,80,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",LOW,0.679,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0075,"[""EXERTIONAL_DYSPNEA""]","[""LIMB_SWELLING"",""PALPITATION""]",[],16,80,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",HIGH,0.72,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0076,"[""CHEST_PAIN""]","[""EXERTIONAL_DYSPNEA"",""LIMB_SWELLING"",""PALPITATION""]",[],18,100,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",NORMAL,0.694,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0077,"[""PALPITATION""]","[""EXERTIONAL_DYSPNEA"",""LIMB_SWELLING""]",[],16,120,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",HIGH,0.641,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0078,"[""CHEST_PAIN""]","[""PALPITATION""]",[],16,100,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",HIGH,0.907,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0079,"[""EXERTIONAL_DYSPNEA""]","[""LIMB_SWELLING"",""PALPITATION""]",[],16,80,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",LOW,0.751,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0080,"[""EXERTIONAL_DYSPNEA""]","[""CHEST_PAIN"",""LIMB_SWELLING""]",[],18,100,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",HIGH,0.71,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0081,"[""CHEST_PAIN"",""EXERTIONAL_DYSPNEA""]","[""LIMB_SWELLING"",""PALPITATION""]","[""BLURRED_VISION""]",18,120,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",LOW,0.901,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0082,"[""LIMB_SWELLING""]","[""EXERTIONAL_DYSPNEA"",""PALPITATION""]","[""BLURRED_VISION""]",16,80,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",HIGH,0.704,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0083,"[""LIMB_SWELLING""]","[""CHEST_PAIN"",""EXERTIONAL_DYSPNEA"",""PALPITATION""]",[],18,80,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",NORMAL,0.739,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0084,"[""PALPITATION""]","[""CHEST_PAIN"",""EXERTIONAL_DYSPNEA"",""LIMB_SWELLING""]",[],18,100,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",HIGH,0.897,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0085,"[""LIMB_SWELLING""]","[""CHEST_PAIN""]","[""DYSPNEA""]",16,100,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",NORMAL,0.889,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0086,"[""LIMB_SWELLING""]","[""CHEST_PAIN"",""EXERTIONAL_DYSPNEA"",""PALPITATION""]","[""DYSPNEA""]",16,80,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",NORMAL,0.726,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0087,"[""LIMB_SWELLING""]","[""CHEST_PAIN"",""EXERTIONAL_DYSPNEA""]","[""DYSPNEA""]",18,80,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",NORMAL,0.648,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0088,"[""EXERTIONAL_DYSPNEA""]","[""CHEST_PAIN"",""LIMB_SWELLING"",""PALPITATION""]","[""DYSPNEA""]",18,120,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",NORMAL,0.891,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0089,"[""CHEST_PAIN""]","[""EXERTIONAL_DYSPNEA"",""LIMB_SWELLING""]",[],16,120,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",NORMAL,0.877,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0090,"[""PALPITATION""]","[""CHEST_PAIN"",""EXERTIONAL_DYSPNEA"",""LIMB_SWELLING""]",[],16,120,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",HIGH,0.771,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0091,"[""EXERTIONAL_DYSPNEA"",""LIMB_SWELLING""]","[""CHEST_PAIN"",""PALPITATION""]","[""BLURRED_VISION""]",16,120,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",NORMAL,0.698,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0092,"[""LIMB_SWELLING""]","[""EXERTIONAL_DYSPNEA"",""PALPITATION""]","[""BLURRED_VISION""]",18,100,ALL,ANY,CARD,Tim mạch,"[""RESP"",""GENERAL""]",LOW,0.653,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
